回數,名次,角色,點數,第一推,評論,支援作品,上回排名,前前回排名
20,1,博麗 霊夢,21959,4301,3890,57,2,3
20,2,霧雨 魔理沙,20249,4062,4449,42,1,2
20,3,フランドール・スカーレット,17324,3723,4048,32,3,1
20,4,古明地 こいし,16273,3334,3462,32,4,6
20,5,魂魄 妖夢,14445,3083,3170,23,5,4
20,6,十六夜 咲夜,14437,2535,3206,9,6,5
20,7,レミリア・スカーレット,13785,2207,3029,24,7,7
20,8,古明地 さとり,9921,1305,1982,10,9,9
20,9,藤原 妹紅,9377,1641,2059,16,8,8
20,10,チルノ,8159,1335,2081,13,15,15
20,11,西行寺 幽々子,7973,1156,1603,6,10,10
20,12,アリス・マーガトロイド,7417,1055,1372,17,11,11
20,13,射命丸 文,7235,1082,1389,9,13,12
20,14,東風谷 早苗,6762,986,1269,14,12,14
20,15,鈴仙・優曇華院・イナバ,6491,832,1231,11,14,13
20,16,八雲 紫,5996,736,1174,3,16,16
20,17,パチュリー・ノーレッジ,5559,739,1020,7,18,19
20,18,紅 美鈴,5302,668,1141,6,23,22
20,19,秦 こころ,5235,778,1051,2,21,21
20,20,比那名居 天子,5207,888,918,8,17,18
20,21,ルーミア,5152,758,1204,20,19,17
20,22,洩矢 諏訪子,4914,735,1050,7,20,20
20,23,多々良 小傘,4806,671,1015,10,22,25
20,24,風見 幽香,4288,611,774,2,26,26
20,25,四季映姫・ヤマザナドゥ,4151,548,772,3,25,23
20,26,純狐,3716,440,719,11,28,28
20,27,伊吹 萃香,3715,475,681,8,30,31
20,28,犬走 椛,3695,557,766,5,27,24
20,29,八雲 藍,3635,479,724,5,24,34
20,30,蓬莱山 輝夜,3519,394,617,5,34,40
20,31,霊烏路 空,3463,502,721,3,33,36
20,32,依神紫苑,3372,443,640,3,32,30
20,33,豊聡耳 神子,3305,516,624,7,31,27
20,34,宇佐見 蓮子,3220,356,577,4,41,41
20,35,鬼人 正邪,3174,549,626,7,35,32
20,36,水橋 パルスィ,3144,456,625,7,37,38
20,37,八意 永琳,3100,250,940,13,53,46
20,38,ヘカーティア・ラピスラズリ,3012,310,644,3,38,29
20,39,稗田 阿求,3011,315,822,6,86,87
20,40,物部 布都,2967,386,618,12,39,37
20,41,河城 にとり,2849,395,540,3,40,35
20,42,饕餮 尤魔,2803,259,608,14,29,53
20,43,鍵山 雛,2774,397,518,4,45,42
20,44,稀神 サグメ,2731,324,520,6,36,33
20,45,摩多羅隠岐奈,2540,314,572,6,44,43
20,46,茨木 華扇,2528,269,482,7,43,39
20,47,火焔猫 燐,2278,225,455,4,42,45
20,48,マエリベリー・ハーン,2220,134,439,5,54,60
20,49,聖 白蓮,2087,205,440,1,48,47
20,50,上白沢 慧音,1926,173,378,9,55,55
20,51,橙,1924,178,495,9,50,56
20,52,ミスティア・ローレライ,1898,236,408,14,63,69
20,53,封獣 ぬえ,1883,198,386,4,51,44
20,54,ナズーリン,1776,244,388,5,48,49
20,55,飯綱丸 龍,1680,166,410,4,66,61
20,56,魅魔,1667,146,481,7,70,75
20,57,小悪魔,1611,106,302,5,57,54
20,58,ドレミー・スイート,1602,165,343,4,56,50
20,59,天弓 千亦,1590,144,388,8,64,52
20,60,クラウンピース,1568,126,300,8,62,48
20,61,菅牧 典,1553,113,371,7,47,57
20,62,霍 青娥,1548,151,316,5,60,58
20,63,大妖精,1508,100,328,6,61,66
